## Using https://gist.github.com/jgomezdans/2f7850cbc5f508a6f00d7bb8d2eb602f
# Site name; Code ; nyears ; lat ; lon ; igbp_lc; investigator_lc
'Las Majadas del Tietar';'ES-LMa';12;39.9415; -5.7734;'Closed Shrublands';'Savannas'
'Hyytiala';'FI-Hyy';20;61.8475; 24.2950;'Evergreen Needleleaf Forest';'Evergreen Needleleaf Forests'
'Kaamanen wetland';'FI-Kaa';13;69.1407; 27.2950;'Woody Savannas';'Permanent Wetlands'
'Alkkia Scots pine forest';'FI-Alk';11;62.1834; 22.7842;'Evergreen Needleleaf Forest';'Evergreen Needleleaf Forests'
'Sodankyla';'FI-Sod';13;67.3619; 26.6378;'Evergreen Needleleaf Forest';'Evergreen Needleleaf Forests'
'Le Bray (after 6/28/1998)';'FR-LBr';13;44.7171; -0.7693;'Cropland/Natural Vegetation Mosaic';'Evergreen Needleleaf Forests'
'Grignon  (after 6/5/2005)';'FR-Gri';12;48.8442; 1.9519;'Croplands';'Cropland'
'Hesse Forest- Sarrebourg';'FR-Hes';20;48.6742; 7.0656;'Deciduous Broadleaf Forest';'Deciduous Broadleaf Forests'
'Lamasquere';'FR-Lam';12;43.4965; 1.2379;'Croplands';'Cropland'
'Laqueuille';'FR-Lq1';14;45.6431; 2.7358;'Croplands';'Grasslands'
'Puechabon';'FR-Pue';16;43.7414; 3.5958;'Mixed Forests';'Evergreen Broadleaf Forests'
'Guyaflux';'GF-Guy';11;5.27877187728882; -52.924861907959;'Evergreen Broadleaf Forest';'Evergreen Broadleaf Forests'
'Mogostos Forest';'GR-Mog';18;38.0000; 22.6167;'Woody Savannas';'Natural forest/deciduous trees (dominate)'
'Hegyhatsal';'HU-He1';19;46.9559; 16.6520;'Croplands';'Cropland'
'Hegyhatsal Tower 2';'HU-He2';17;46.9552; 16.6527;'Croplands';'Grasslands'
'Bukit Soeharto- East Kalimantan';'ID-Buk';17;-0.833333333; 117.05;'Evergreen Broadleaf Forest';'Tropical forest, secondary forest'
'Dripsey';'IE-Dri';12;51.9867; -8.7518;'Grasslands';'Grasslands'
'Killorglin';'IE-Kil';11;51.9684; -9.9003;'Woody Savannas';'Permanent Wetlands'
'Yatir';'IL-Yat';10;31.3450; 35.0515;'Open Shrublands';'Evergreen Needleleaf Forests'
'Renon/Ritten (Bolzano)';'IT-Ren';18;46.5869; 11.4337;'Evergreen Needleleaf Forest';'Evergreen Needleleaf Forests'
'Zerbolo-Parco Ticino- Canarazzo';'IT-PT1';11;45.2009; 9.0610;'Croplands';'Deciduous Broadleaf Forests'
'Castelporziano';'IT-Cpz';13;41.7052; 12.3761;'Evergreen Needleleaf Forest';'Evergreen Broadleaf Forests'
'Collelongo- Selva Piana';'IT-Col';20;41.8494; 13.5881;'Deciduous Broadleaf Forest';'Deciduous Broadleaf Forests'
'La Mandria';'IT-LMa';11;45.1526; 7.5826;'Mixed Forests';'Deciduous Broadleaf Forests'
'Lavarone (after 3/2002)';'IT-Lav';15;45.9562; 11.2813;'Evergreen Needleleaf Forest';'Evergreen Needleleaf Forests'
'Monte Bondone';'IT-MBo';14;46.0147; 11.0458;'Grasslands';'Grasslands'
'Nonantola';'IT-Non';11;44.6902; 11.0911;'Cropland/Natural Vegetation Mosaic';'Mixed Forests'
'Roccarespampani1';'IT-Ro1';10;42.4081; 11.9300;'Cropland/Natural Vegetation Mosaic';'Deciduous Broadleaf Forests'
'Roccarespampani2';'IT-Ro2';11;42.3903; 11.9209;'Cropland/Natural Vegetation Mosaic';'Deciduous Broadleaf Forests'
'San Rossore';'IT-SRo';14;43.7279; 10.2844;'Water';'Evergreen Needleleaf Forests'
'Appi Forest Meteorology Research Site Japan';'JP-App';17;40.0000; 141.5667;'Deciduous Broadleaf Forest';'cool temperate deciduous bload-leaved forest'
'Fujiyoshida Forest Met. Research Site';'JP-Fuj';17;35.4514; 138.7653;'Mixed Forests';'natural evergreen needles leaf forest'
'Hachihama Observatory (Ohtaki)';'JP-Hac';18;34.5333; 133.9333;'Cropland/Natural Vegetation Mosaic';'cultivation field (paddy field)'
'Sapporo Forest Meteorology Research Site';'JP-Hit';17;42.9868; 141.3853;'Mixed Forests';'Boreal deciduous broadleaf forest'
'IGBP Tower Site- Hokkaido';'JP-Hok';18;42.6990; 141.5710;'Water';'cool temperate forest'
'Kahoku experimental watershed';'JP-Kah';17;33.1337; 130.7119;'Mixed Forests';'artificial needle leaf forest'
'Shionomisaki Laboratory';'JP-Shi';17;33.4428; 135.7594;'Woody Savannas';'Natural vegetation (Grassland)'
'Takayama';'JP-Tak';23;36.1462; 137.4231;'Mixed Forests';'cool temperate deciduous broadleaf forest'
'Rice- Yawara-Ibaraki Prefecture';'JP-Yaw';17;36.0000; 140.0167;'Croplands';'farming field (paddy field)'
'Suwon Suburban Rice Paddy';'KR-Suw';14;37.2695; 126.9402;'Cropland/Natural Vegetation Mosaic';'farming field (paddy field)'
'Inner Mongolia';'MN-Inn';13;43.5000; 117.4500;'Deciduous Broadleaf Forest';'farming field (paddy field)'
'Chamela Biological Station';'MX-Cha';11;19.5093; -105.0402;'Deciduous Broadleaf Forest';'Seasonally dry tropical forest'
'La Paz';'MX-Lpa';16;24.1293; -110.4380;'Open Shrublands';'Arid-tropical region, sarcocaulescent scrub, transition between the Nonoran desert of the northern peninsula and the tropical dry forest of the Sierra de La Laguna, 85% of vegetation includes is represented by dominant 7 species.'
'Cabauw';'NL-Ca1';16;51.9710; 4.9270;'Cropland/Natural Vegetation Mosaic';'Grasslands'
'Horstermeer';'NL-Hor';13;52.2404; 5.0713;'Mixed Forests';'Grasslands'
'Loobos';'NL-Loo';20;52.1666; 5.7436;'Evergreen Needleleaf Forest';'Evergreen Needleleaf Forests'
'Purerua';'NZ-Pur';14;-35.15; 174.0333;'Evergreen Broadleaf Forest';'pasture'
'Brenna';'PL-Bre';14;49.6667; 18.9333;'Mixed Forests';'pasture'
'Polwet';'PL-wet';12;52.7622; 16.3094;'Mixed Forests';'Permanent Wetlands'
'Mitra II (Evora)';'PT-Mi3';11;38.5406; -8.0001;'Savannas';'Open oak woodland'
'Chokurdakh / Kytalyk';'RU-Cok';11;70.8291; 147.4943;'Open Shrublands';'Open Shrublands'
'Chukotka';'RU-Cuk';15;65.5948; 171.0525;'Open Shrublands';'Open Shrublands'
'Fedorovskoje-drained spruce stand';'RU-Fyo';18;56.4615; 32.9221;'Mixed Forests';'Evergreen Needleleaf Forests'
'Samoylov Island- Lena Delta';'RU-Sam';13;72.3738; 126.4958;'Woody Savannas';'Grasslands'
'Tuva';'RU-Tuv';12;50.1500; 94.4500;'Grasslands';'Grasslands'
'Yakutsk-Larch';'RU-Ylr';17;62.2550; 129.6189;'Deciduous Needleleaf Forest';'Deciduous Needleleaf Forests'
'Yakutsk-Pine';'RU-Ypn';15;62.2414; 129.6506;'Deciduous Needleleaf Forest';'Deciduous Needleleaf Forests'
'Asa Nybygget';'SE-As2';11;57.1495; 14.7387;'Evergreen Needleleaf Forest';'Deciduous Needleleaf Forests'
'Degero Stormyr (NECC)';'SE-Deg';15;64.1820; 19.5567;'Evergreen Needleleaf Forest';'Grasslands'
'Flakaliden';'SE-Fla';14;64.1128; 19.4569;'Evergreen Needleleaf Forest';'Evergreen Needleleaf Forests'
'Norunda';'SE-Nor';17;60.0865; 17.4795;'Evergreen Needleleaf Forest';'Evergreen Needleleaf Forests'
'Stordalen  Forest- Mountain Birch';'SE-St1';11;68.3541; 19.0503;'Closed Shrublands';'Permanent Wetlands'
'Polana 2';'SK-Pol';14;48.6333; 19.4667;'Mixed Forests';'Permanent Wetlands'
'Maeklong- Kanchanabri';'TH-Mae';15;14.575; 98.85833333;'Evergreen Broadleaf Forest';'tropical forest'
'Mixed Vegetation Site';'TH-Mix';14;16.9399; 99.4299;'Woody Savannas';'tropical forest'
'Sakaerat- Nakonrachasima';'TH-Sak';15;14.49333333; 101.9219444;'Evergreen Broadleaf Forest';'Tropical green'
'Chilan (TWCL)';'TW-Chn';11;24.5909; 121.4990;'Evergreen Broadleaf Forest';'Natural Regenerated Conifer Plantation'
'NCHU (TWNCHU)';'TW-Nch';10;24.1206; 120.6781;'Urban and Built-Up';'Natural Regenerated Conifer Plantation'
'Auchencorth Moss- Scotland';'UK-AMo';13;55.7917; -3.2389;'Grasslands';'Grasslands'
'Cairngorms- Scotland';'UK-Cas';14;57.2333; -3.5000;'Mixed Forests';'Grasslands'
'Easter Bush- Scotland';'UK-EBu';11;55.8660; -3.2058;'Cropland/Natural Vegetation Mosaic';'Grasslands'
'Griffin- Aberfeldy-Scotland';'UK-Gri';15;56.6072; -3.7981;'Evergreen Needleleaf Forest';'Evergreen Needleleaf Forests'
'Moor House';'UK-MoH';12;54.6963; -2.3964;'Mixed Forests';'Eriophorum (cotton grass), Calluna vulgaris (heather), and Sphagnum moss'
'Polden- Scotland';'UK-Pol';14;55.2868; -3.4015;'Grasslands';'Eriophorum (cotton grass), Calluna vulgaris (heather), and Sphagnum moss'
'Neal Smith Prairie';'US-NSP';11;41.5579; -93.2962;'Croplands';'Prairie'
'Brooks Field Site 10';'US-Br1';15;41.6915; -93.6914;'Cropland/Natural Vegetation Mosaic';'Soybean/corn annual rotation: corn (C4) 2001, 2003, 2005, 2007 and soybean (C3) 2002, 2004, 2006, 2008'
'Brooks Field Site 1011';'US-Br2';11;41.9757; -93.6925;'Croplands';'Soybean/corn annual rotation: corn (C4) 2001, 2003, 2005, 2007 and soybean (C3) 2002, 2004, 2006, 2008'
'Brooks Field Site 11';'US-Br3';15;41.9747; -93.6936;'Croplands';'Soybean/corn annual rotation: corn (C4) 2002, 2004, 2006, 2008 and soybean (C3) 2001, 2003, 2005, 2007'
'Atqasuk';'US-Atq';11;70.4696; -157.4089;'Grasslands';'Variety of moist-wet coastal sedge tundra, and moist-tussock tundra surfaces in the more well-drained upland.'
'Audubon Research Ranch';'US-Aud';14;31.5907; -110.5092;'Open Shrublands';'desert grassland'
'Walnut Gulch Kendall Grasslands';'US-Wkg';13;31.7365; -109.9419;'Grasslands';'warm season C4 grassland (bouteloua) with a few shrubs interspersed'
'Lewis Springs Mesquite';'US-LSM';15;31.5658; -110.1344;'Open Shrublands';'warm season C4 grassland (bouteloua) with a few shrubs interspersed'
'Walnut Gulch Lucky Hills Shrubland';'US-Whs';13;31.7438; -110.0522;'Open Shrublands';'warm season C4 grassland (bouteloua) with a few shrubs interspersed'
'Mt Bigelow';'US-MtB';14;32.4167; -110.7255;'Woody Savannas';'warm season C4 grassland (bouteloua) with a few shrubs interspersed'
'Barrow';'US-Brw';23;71.3225; -156.6259;'Snow and Ice';'Moist acidic tundra - wet sedges, grasses, moss, and assorted lichens'
'Bartlett Experimental Forest';'US-Bar';12;44.0646; -71.2881;'Mixed Forests';'Temperate northern hardwood forest'
'Black Hills';'US-Blk';11;44.1580; -103.6500;'Evergreen Needleleaf Forest';'Conifer'
'Blodgett Forest';'US-Blo';11;38.8953; -120.6328;'Evergreen Needleleaf Forest';'Mixed evergreen coniferous forest dominated by ponderosa pine'
'Bondville';'US-Bo1';20;40.0062; -88.2904;'Croplands';'Annual rotation between corn (C4) and soybeans (C3)'
'Brookings';'US-Bkg';12;44.3453; -96.8362;'Croplands';'Range Grassland'
'Canaan Valley';'US-CaV';12;39.0633; -79.4208;'Cropland/Natural Vegetation Mosaic';'temperate grassland'
'Chestnut Ridge';'US-ChR';10;35.9311; -84.3324;'Deciduous Broadleaf Forest';'temperate grassland'
'Duke Forest Open Field';'US-Dk1';15;35.9712; -79.0934;'Mixed Forests';'Compositionally variable depending on growing season, time since last harvest, and meteorological conditions (e.g. drought). The stand is dominated by the C3 grass, tall fescue, with minor amounts of forbs, herbs, and grasses. A discernible understory does not exist. The open field is typical of many abandoned agricultural fields in the southeastern United States.'
'Duke Forest Hardwoods';'US-Dk2';16;35.9736; -79.1004;'Mixed Forests';'Mature oak-hickory dominated hardwood forest'
'Duke Forest Loblolly Pine';'US-Dk3';19;35.9782; -79.0942;'Mixed Forests';'The uniform age overstory is almost solely composed of loblolly pines with an understory of 26 different hardwood species.'
'Florida Everglades - Shark River Slough (Mangrove Forest)';'US-Skr';13;25.3646; -81.0779;'Permanent Wetlands';'The uniform age overstory is almost solely composed of loblolly pines with an understory of 26 different hardwood species.'
'Fort Peck';'US-FPe';17;48.3077; -105.1019;'Grasslands';'Grassland'
'Freeman Ranch- Grassland';'US-FR1';12;29.9300; -98.0100;'Grasslands';'Mixture of C3 and C4 species'
'Freeman Ranch- Mesquite Juniper';'US-FR2';12;29.9495; -97.9962;'Cropland/Natural Vegetation Mosaic';'Grassland in transition to an Ashe juniper-dominated woodland'
'Freeman Ranch- Woodland';'US-FR3';12;29.9400; -97.9900;'Woody Savannas';'Dense canopy of live oak and Ashe juniper'
'GLEES';'US-GLE';17;41.3644; -106.2394;'Evergreen Needleleaf Forest';'Subalpine/alpine'
'Harvard Forest EMS Tower (HFR1)';'US-Ha1';25;42.5378; -72.1715;'Mixed Forests';'Temperate deciduous forest'
'Harvard Forest Hemlock Site';'US-Ha2';13;42.5393; -72.1779;'Mixed Forests';'Temperate coniferous forest'
'Howland Forest (Main Tower)';'US-Ho1';21;45.2041; -68.7402;'Mixed Forests';'The natural stands in this boreal--northern hardwood transitional forest consist of hemlock-spruce-fir, aspen-birch, and hemlock-hardwood mixtures.'
'Howland Forest (West Tower)';'US-Ho2';17;45.2091; -68.7470;'Mixed Forests';'The natural stands in this boreal--northern hardwood transitional forest consist of hemlock-spruce-fir, aspen-birch, and hemlock-hardwood mixtures.'
'Howland Forest (East Tower Harvest Site)';'US-Ho3';15;45.2072; -68.7250;'Mixed Forests';'The arboreal composition in the 200 m tower footprint is 80% Evergreen needleleaf and 20% Broadleaf deciduous. Across the surrounding region, the forest is mixed Evergreen needleleaf and Broadleaf deciduous with neither greater than 60% of total arboreal vegetation.'
'Fermi National Accelerator Laboratory - (Agricultural site)';'US-IB1';11;41.8593; -88.2227;'Croplands';'Corn/Soybean rotation'
'Fermi National Accelerator Laboratory - (Prairie site)';'US-IB2';12;41.8406; -88.2410;'Cropland/Natural Vegetation Mosaic';'Tall grass prairie: C4 grasses and forbs'
'Jasper Ridge';'US-Jas';18;37.4021; -122.2210;'Woody Savannas';'Grassland/forest'
'Konza Prairie';'US-Kon';20;39.0824; -96.5603;'Grasslands';'C4 tallgrass prairie'
'Manhattan (cedar forest 30 km N)';'US-Man';19;39.4600; -96.7570;'Woody Savannas';'C4 tallgrass prairie'
'Rannells Ranch (ungrazed)';'US-Ra1';19;39.1390; -96.5230;'Grasslands';'C4 tallgrass prairie'
'Rannells Ranch (grazed)';'US-Ra2';19;39.1405; -96.5270;'Grasslands';'C4 tallgrass prairie'
'ARM Southern Great Plains site';'US-ARM';16;36.6058; -97.4888;'Croplands';'Agricultural: wheat, corn, and soybean periodic rotation'
'Lost Creek';'US-Los';16;46.0827; -89.9792;'Mixed Forests';'Alder-willow shrub wetland'
'Little Prospect Hill';'US-LPH';14;42.5419; -72.1850;'Deciduous Broadleaf Forest';'Temperate deciduous forest'
'Cub Hill (Baltimore)';'US-Cub';15;39.4125; -76.5208;'Urban and Built-Up';'Temperate deciduous forest'
'Mead - irrigated continuous maize site';'US-Ne1';15;41.1651; -96.4766;'Croplands';'Agriculture  (continuous maize)'
'Mead - irrigated maize-soybean rotation site';'US-Ne2';15;41.1649; -96.4701;'Croplands';'Agriculture (maize-soybean rotation)'
'Mead - rainfed maize-soybean rotation site';'US-Ne3';15;41.1797; -96.4396;'Croplands';'Agriculture (maize-soybean rotation)'
'Metolius Intermediate Pine';'US-Me2';13;44.4523; -121.5574;'Evergreen Needleleaf Forest';'Agriculture (maize-soybean rotation)'
'Metolius Second Young Pine';'US-Me3';13;44.3154; -121.6078;'Evergreen Needleleaf Forest';'The surrounding open-canopy forest is characterized by a very young ponderosa pine overstory, reaching a mean canopy height of 3.11 m. The understory is dominated by grasses (~70%) native to the semi-arid regions of central Oregon. Secondary species that total approximately 30% of the understory, include antelope bitterbrush and greenleaf manzanita. The abundance of understory grasses is typical of a forest that instead of allowing natural regrowth following timber removal, a mensuration plot was put in place.'
'Missouri Ozark Site';'US-MOz';12;38.7441; -92.2000;'Deciduous Broadleaf Forest';'Oak hickory forest'
'Morgan Monroe State Forest';'US-MMS';18;39.3232; -86.4131;'Deciduous Broadleaf Forest';'Mixed hardwood deciduous forest'
'Lodgepole Forest';'US-Ldg';10;46.9522; -110.8853;'Evergreen Needleleaf Forest';'Mixed hardwood deciduous forest'
'Riparian Meadow';'US-Rip';10;46.9454; -110.8872;'Evergreen Needleleaf Forest';'Mixed hardwood deciduous forest'
'North Carolina Clearcut';'US-NC1';12;35.8115; -76.7115;'Mixed Forests';'In the immediate vicinity of the tower, vegetation is nearly 100% Loblolly pine seedlings surrounded by a dense groundcover composed of dogfennel (Eupatorium capillifolium (Lam.) Small) and roundleaf greenbrier (Smilax rotundifolia  L.) along the margins of the plantation.'
'North Carolina Loblolly Plantation';'US-NC2';12;35.8031; -76.6679;'Evergreen Needleleaf Forest';'In the immediate vicinity of the tower, vegetation is nearly 100% Loblolly pine with a few red cedars along small indentations in the plantation terrain.'
'Niwot Ridge (LTER NWT1)';'US-NR1';19;40.0329; -105.5464;'Evergreen Needleleaf Forest';'Subalpine mixed coniferous forest with very little understory and a canopy gap fraction of 17%'
'Niwot Ridge (LTER NWT2)';'US-NR2';16;40.0325; -105.5469;'Evergreen Needleleaf Forest';'Subalpine coniferous forest'
